N,Streamflow (Coxs),ST-63036,ST-63049,ST-63132,ST-63146,ST-63246,Streamflow (212260 - KOWMUNG),ST-63036(d-1),ST-63049(d-1),ST-63132(d-1),ST-63146(d-1),ST-63246(d-1),Streamflow (212260 – KOWMUNG)(d-1),ST-63036(d-2),ST-63049(d-2),ST-63132(d-2),ST-63146(d-2),ST-63246(d-2),Streamflow (212260 – KOWMUNG)(d-2)
1,259.192,2,0,0,0,1.9,226.186,0.4,0.4,0,0,0,271.145,0.8,0,0,0,0.6,355.294
2,235.496,1.4,0.6,9.6,2.8,0,194.995,2,0,0,0,1.9,226.186,0.4,0.4,0,0,0,271.145
3,220.188,0.2,2,0,0,1,173.59,1.4,0.6,9.6,2.8,0,194.995,2,0,0,0,1.9,226.186
4,194.351,0,0,0,0,0,152.432,0.2,2,0,0,1,173.59,1.4,0.6,9.6,2.8,0,194.995
5,174.615,0,0.6,0,0,1.4,129.349,0,0,0,0,0,152.432,0.2,2,0,0,1,173.59
6,170.428,1.6,0.6,0,1,6.1,110.649,0,0.6,0,0,1.4,129.349,0,0,0,0,0,152.432
7,167.237,0,0,0,0,0,99.621,1.6,0.6,0,1,6.1,110.649,0,0.6,0,0,1.4,129.349
8,157.458,0,0.2,0,0,0,91.982,0,0,0,0,0,99.621,1.6,0.6,0,1,6.1,110.649
9,143.588,2.4,6,0.4,2,11.6,85.225,0,0.2,0,0,0,91.982,0,0,0,0,0,99.621
10,139.744,0.2,1,1.2,3,5.6,82.576,2.4,6,0.4,2,11.6,85.225,0,0.2,0,0,0,91.982
11,138.007,0.2,1.2,0,0,3.8,82.614,0.2,1,1.2,3,5.6,82.576,2.4,6,0.4,2,11.6,85.225
12,128.446,0,0,0,0,1.6,85.8,0.2,1.2,0,0,3.8,82.614,0.2,1,1.2,3,5.6,82.576
13,118.209,0,0.2,0,0,0,82.469,0,0,0,0,1.6,85.8,0.2,1.2,0,0,3.8,82.614
14,108.747,0.4,0.6,0.2,0,1.2,75.02,0,0.2,0,0,0,82.469,0,0,0,0,1.6,85.8
15,105.554,0.4,0,0,0,7,70.997,0.4,0.6,0.2,0,1.2,75.02,0,0.2,0,0,0,82.469
16,107.075,0,0,0,0,0,67.477,0.4,0,0,0,7,70.997,0.4,0.6,0.2,0,1.2,75.02
17,101.663,0,0,0,0,0,63.696,0,0,0,0,0,67.477,0.4,0,0,0,7,70.997
18,89.944,0,0,0,0,0,60.682,0,0,0,0,0,63.696,0,0,0,0,0,67.477
19,80.47,0,0,0,0,0,56.812,0,0,0,0,0,60.682,0,0,0,0,0,63.696
20,69.344,0,0,0,0,0,52.172,0,0,0,0,0,56.812,0,0,0,0,0,60.682
21,62.808,0,0,0,0,1.2,49.185,0,0,0,0,0,52.172,0,0,0,0,0,56.812
22,59.551,0,0,0,0,1.2,45.535,0,0,0,0,1.2,49.185,0,0,0,0,0,52.172
23,60.222,1.4,2.8,3,5.2,4.2,42.638,0,0,0,0,1.2,45.535,0,0,0,0,1.2,49.185
24,63.392,16.6,10,14.6,14.4,0,44.905,1.4,2.8,3,5.2,4.2,42.638,0,0,0,0,1.2,45.535
25,76.416,27.6,25.2,43.2,14.4,25.6,52.281,16.6,10,14.6,14.4,0,44.905,1.4,2.8,3,5.2,4.2,42.638
26,97.762,0,0,4.4,0,0.2,77.959,27.6,25.2,43.2,14.4,25.6,52.281,16.6,10,14.6,14.4,0,44.905
27,100.395,0,0.2,0,0,0.6,107.257,0,0,4.4,0,0.2,77.959,27.6,25.2,43.2,14.4,25.6,52.281
28,84.584,0,0,0,0,0,95,0,0.2,0,0,0.6,107.257,0,0,4.4,0,0.2,77.959
29,125.189,0.6,0,0,0,0.4,75.123,0,0,0,0,0,95,0,0.2,0,0,0.6,107.257
30,108.777,0,0,0,0,0,64.216,0.6,0,0,0,0.4,75.123,0,0,0,0,0,95
31,90.794,0,0.4,0,0,0,57.208,0,0,0,0,0,64.216,0.6,0,0,0,0.4,75.123
32,75.437,0,0,0,0,0,51.977,0,0.4,0,0,0,57.208,0,0,0,0,0,64.216
33,64.364,0,0,0,0,0,47.098,0,0,0,0,0,51.977,0,0.4,0,0,0,57.208
34,57.826,0,0,0,0,0,43.116,0,0,0,0,0,47.098,0,0,0,0,0,51.977
35,54.191,0.4,0.2,0,0,2.4,39.181,0,0,0,0,0,43.116,0,0,0,0,0,47.098
36,53.908,0,0,0,0,0,37.472,0.4,0.2,0,0,2.4,39.181,0,0,0,0,0,43.116
37,52.685,0,0,0,0,0,35.017,0,0,0,0,0,37.472,0.4,0.2,0,0,2.4,39.181
38,48.612,0,0,0,0,0,32.969,0,0,0,0,0,35.017,0,0,0,0,0,37.472
39,44.25,0,0,0,0,0,30.726,0,0,0,0,0,32.969,0,0,0,0,0,35.017
40,40.05,0,0,0,0,0.6,28.573,0,0,0,0,0,30.726,0,0,0,0,0,32.969
41,38.885,8,10.7,5,8.4,15.6,28.246,0,0,0,0,0.6,28.573,0,0,0,0,0,30.726
42,49.984,1.2,2.5,0.2,2,5.6,34.08,8,10.7,5,8.4,15.6,28.246,0,0,0,0,0.6,28.573
43,56.937,3.2,1.8,0.6,1.4,3.6,30.76,1.2,2.5,0.2,2,5.6,34.08,8,10.7,5,8.4,15.6,28.246
44,62.196,0,0.6,0,0,0,32.097,3.2,1.8,0.6,1.4,3.6,30.76,1.2,2.5,0.2,2,5.6,34.08
45,69.627,0,0,0,0,0,36.089,0,0.6,0,0,0,32.097,3.2,1.8,0.6,1.4,3.6,30.76
46,60.444,0,0,0,0,0,41.796,0,0,0,0,0,36.089,0,0.6,0,0,0,32.097
47,52.493,0,0,0,0,0,42.068,0,0,0,0,0,41.796,0,0,0,0,0,36.089
48,47.116,0,0,0,0,0,37.974,0,0,0,0,0,42.068,0,0,0,0,0,41.796
49,44.515,0,0,0,0,0,32.765,0,0,0,0,0,37.974,0,0,0,0,0,42.068
50,43.675,0,0,0,0,0,29.292,0,0,0,0,0,32.765,0,0,0,0,0,37.974
51,40.687,2.8,0.8,0.8,1,2,25.938,0,0,0,0,0,29.292,0,0,0,0,0,32.765
52,41.889,0,0,0,0,0,24.715,2.8,0.8,0.8,1,2,25.938,0,0,0,0,0,29.292
53,45.924,0.2,0,0,0,0,24.798,0,0,0,0,0,24.715,2.8,0.8,0.8,1,2,25.938
54,47.208,0,0,0,0,0,24.537,0.2,0,0,0,0,24.798,0,0,0,0,0,24.715
55,45.129,0,0,0,0,0.4,23.815,0,0,0,0,0,24.537,0.2,0,0,0,0,24.798
56,43.993,0,1.4,0,0,6,24.071,0,0,0,0,0.4,23.815,0,0,0,0,0,24.537
57,45.472,0,0,0,0,0,24.226,0,1.4,0,0,6,24.071,0,0,0,0,0.4,23.815
58,47.069,1.6,1,0,3,7,26.106,0,0,0,0,0,24.226,0,1.4,0,0,6,24.071
59,47.937,0,0,0,0,0,25.661,1.6,1,0,3,7,26.106,0,0,0,0,0,24.226
60,45.813,0,0,0,0,0,23.791,0,0,0,0,0,25.661,1.6,1,0,3,7,26.106
61,42.68,0,0,0,0,0,21.646,0,0,0,0,0,23.791,0,0,0,0,0,25.661
62,39.404,1.8,0.6,0,0,2,19.824,0,0,0,0,0,21.646,0,0,0,0,0,23.791
63,40.752,1,0.2,9.4,2.8,56,20.1,1.8,0.6,0,0,2,19.824,0,0,0,0,0,21.646
64,123.36,9,4.6,1,2.4,11,26.251,1,0.2,9.4,2.8,56,20.1,1.8,0.6,0,0,2,19.824
65,124.976,19.4,22,8.6,14.2,36.4,31.02,9,4.6,1,2.4,11,26.251,1,0.2,9.4,2.8,56,20.1
66,191.813,49.6,53.4,33,41,42,63.156,19.4,22,8.6,14.2,36.4,31.02,9,4.6,1,2.4,11,26.251
67,1338.976,0.4,2.4,1.2,3.2,1.8,537.148,49.6,53.4,33,41,42,63.156,19.4,22,8.6,14.2,36.4,31.02
68,859.222,28.6,55,16.4,49.2,17.6,608.259,0.4,2.4,1.2,3.2,1.8,537.148,49.6,53.4,33,41,42,63.156
69,1342.111,0,3,18.2,10.6,13.6,333.009,28.6,55,16.4,49.2,17.6,608.259,0.4,2.4,1.2,3.2,1.8,537.148
70,1549.98,15.8,1.4,25.8,3.2,12.8,314.51,0,3,18.2,10.6,13.6,333.009,28.6,55,16.4,49.2,17.6,608.259
71,859.719,2,1,3.8,1,5.8,339.68,15.8,1.4,25.8,3.2,12.8,314.51,0,3,18.2,10.6,13.6,333.009
72,569.058,0.8,1.8,2,3.4,3.6,252.927,2,1,3.8,1,5.8,339.68,15.8,1.4,25.8,3.2,12.8,314.51
73,447.923,0,0,0,0,0,199.474,0.8,1.8,2,3.4,3.6,252.927,2,1,3.8,1,5.8,339.68
74,379.27,0,0,0.4,0,3.4,167.263,0,0,0,0,0,199.474,0.8,1.8,2,3.4,3.6,252.927
75,371.702,0,3.3,2,2.6,0,241.852,0,0,0.4,0,3.4,167.263,0,0,0,0,0,199.474
76,368.463,0,0,0,0,0,410.523,0,3.3,2,2.6,0,241.852,0,0,0.4,0,3.4,167.263
77,489.712,21,15.5,7.8,12,3.6,295.34,0,0,0,0,0,410.523,0,3.3,2,2.6,0,241.852
78,1737.737,25,31.2,20.4,25,34.2,1366.612,21,15.5,7.8,12,3.6,295.34,0,0,0,0,0,410.523
79,5690.349,20.8,28,15.6,20,42,3841.981,25,31.2,20.4,25,34.2,1366.612,21,15.5,7.8,12,3.6,295.34
80,8085.315,9,17,8,17.6,48,4402.72,20.8,28,15.6,20,42,3841.981,25,31.2,20.4,25,34.2,1366.612
81,7878.894,4.4,6,2,2.8,6.8,3810.696,9,17,8,17.6,48,4402.72,20.8,28,15.6,20,42,3841.981
82,5408.644,0,0,0,0,0.2,3119.201,4.4,6,2,2.8,6.8,3810.696,9,17,8,17.6,48,4402.72
83,3761.715,0,0,0,0,0,2107.125,0,0,0,0,0.2,3119.201,4.4,6,2,2.8,6.8,3810.696
84,2727.097,0,0,0,0,0,1394.578,0,0,0,0,0,2107.125,0,0,0,0,0.2,3119.201
85,1985.654,0,0,0,0,0,997.791,0,0,0,0,0,1394.578,0,0,0,0,0,2107.125
86,1514.69,0,0,0,0,0,764.137,0,0,0,0,0,997.791,0,0,0,0,0,1394.578
87,1184.183,0,0,0,0,0.6,594.746,0,0,0,0,0,764.137,0,0,0,0,0,997.791
88,968.091,0.4,0,0,0,0,492.582,0,0,0,0,0.6,594.746,0,0,0,0,0,764.137
89,819.336,0,0,0,0,0,429.484,0.4,0,0,0,0,492.582,0,0,0,0,0.6,594.746
90,717.291,7.6,7.2,10.4,9,13.4,397.326,0,0,0,0,0,429.484,0.4,0,0,0,0,492.582
91,699.305,1.8,0.6,0.4,1,1.2,393.124,7.6,7.2,10.4,9,13.4,397.326,0,0,0,0,0,429.484
92,684.292,0.2,0,0,0,0,384.348,1.8,0.6,0.4,1,1.2,393.124,7.6,7.2,10.4,9,13.4,397.326
93,681.832,29,21.4,18.2,15.8,7,340.617,0.2,0,0,0,0,384.348,1.8,0.6,0.4,1,1.2,393.124
94,1075.058,0,1.2,0.4,3.6,3.2,377.457,29,21.4,18.2,15.8,7,340.617,0.2,0,0,0,0,384.348
95,954.399,0.8,1.6,0,3.4,3.4,395.779,0,1.2,0.4,3.6,3.2,377.457,29,21.4,18.2,15.8,7,340.617
96,781.445,0,0,0,0,1.2,333.376,0.8,1.6,0,3.4,3.4,395.779,0,1.2,0.4,3.6,3.2,377.457
97,665.92,0,1.4,0,1.8,3.4,291.721,0,0,0,0,1.2,333.376,0.8,1.6,0,3.4,3.4,395.779
98,607.133,0.8,0,0,0,0,263.881,0,1.4,0,1.8,3.4,291.721,0,0,0,0,1.2,333.376
99,562.745,0,0,0,0,0,244.933,0.8,0,0,0,0,263.881,0,1.4,0,1.8,3.4,291.721
100,509.217,0,0,0,0,0,226.095,0,0,0,0,0,244.933,0.8,0,0,0,0,263.881